state,year,total_votes,dem_votes,rep_votes,other_votes,green_votes,unemployment_rate,median_income,med_age,bach_per,hs_per,voting_age_pop,Population 18-24,Population 25-44,Population 45-64,Population 65+,dem_votes_per,rep_votes_per,other_votes_per,green_votes_per,voter_participation
ALABAMA,2000,1672551,695602.0,944409.0,14191.0,18349.0,4.7,60570.0,43.0,0.23956601410310496,0.5451755182218437,3329900.0,442244,1284371,1022405,580880,0.4158928487083503,0.5646518402129442,0.008484644115485865,0.010970666963219657,0.5022826511306646
ALASKA,2000,285530,79004.0,167398.0,10381.0,28747.0,6.3,,41.0,0.2842218372196503,0.45313224838346255,437348.0,57670,202899,140673,36106,0.27669246664098346,0.586271144888453,0.03635695023290022,0.10067943823766329,0.6528668245881998
ARIZONA,2000,1534113,685341.0,781652.0,21475.0,45645.0,4.0,68020.0,44.0,0.2683697535478562,0.483790252015136,3787172.0,519627,1514406,1081807,671332,0.4467343670251148,0.5095139667025832,0.013998316942754543,0.029753349329547433,0.40508141695175187
ARKANSAS,2000,921781,422768.0,472940.0,12652.0,13421.0,4.2,50780.0,44.0,0.1924449325237744,0.6387471196458235,1998210.0,263749,749201,610756,374504,0.4586425626043496,0.5130719769663293,0.01372560293605531,0.014559857493265754,0.46130336651302917
CALIFORNIA,2000,10965856,5861203.0,4567429.0,118517.0,418707.0,4.9,80050.0,42.0,0.32881627514481515,0.39194089973864005,24720888.0,3391356,10724282,6996801,3608449,0.5344957110507379,0.4165136766340904,0.010807820201177182,0.038182792113994564,0.44358665433054023
COLORADO,2000,1741365,738227.0,883745.0,27959.0,91434.0,2.7,82480.0,41.0,0.360221325065402,0.37996866876689217,3220245.0,433665,1404449,963845,418286,0.423935820462683,0.507501299268103,0.01605579531000106,0.05250708495921303,0.540755439415324
CONNECTICUT,2000,1459525,816015.0,561094.0,17964.0,64452.0,2.1,85780.0,45.0,0.30714087172345633,0.4273285359717886,2569535.0,272527,1031174,795082,470752,0.5590962813244035,0.384436032270773,0.012308113941179493,0.04415957246364399,0.5680113327897849
DELAWARE,2000,327529,180068.0,137288.0,1866.0,8307.0,3.4,86110.0,44.0,0.25475473747320115,0.539273079977525,591459.0,75953,236255,177082,102169,0.5497772716309091,0.4191628832866708,0.0056972054382970665,0.025362639644123115,0.5537645043866101
DISTRICT OF COLUMBIA,2000,201894,171923.0,18073.0,1322.0,10576.0,5.7,70480.0,41.0,0.33785944003026863,0.37736000756715854,457543.0,73084,188950,125745,69764,0.8515508137933767,0.08951727143946824,0.006547990529683893,0.052383924237471145,0.44125688733080826
FLORIDA,2000,5960660,2911417.0,2911215.0,40602.0,97426.0,3.7,66440.0,45.0,0.25406422492812275,0.5266338606834097,12392635.0,1341695,4574160,3664625,2812155,0.4884386963859707,0.48840480752131477,0.0068116617958414,0.016344834296873164,0.48098406835995733
GEORGIA,2000,2596804,1116230.0,1419720.0,47422.0,13432.0,3.5,71640.0,41.0,0.2686066064152533,0.5331655356251527,6050727.0,844819,2656884,1760584,788440,0.42984761268081845,0.5467181966756058,0.018261678586447033,0.005172512057128686,0.42917223004772814
HAWAII,2000,367871,205242.0,137819.0,3196.0,21614.0,4.2,88130.0,44.0,0.30260085164260714,0.4626248492819273,918167.0,116069,361421,279562,161115,0.557918400743739,0.37463947960018595,0.0086878280701659,0.05875429158590919,0.4006580502239789
